"","series_id","category","actual","method","forecast","horizon","timestamp"
"48","O1","MICRO",4249.63,"COMB S-H-D",4584.98,8,8
"49","O1","MICRO",4381.08,"B-J auto",4540.07,1,1
"50","O1","MICRO",4405.63,"B-J auto",4540.07,2,2
"51","O1","MICRO",4377.02,"B-J auto",4540.07,3,3
"52","O1","MICRO",4371.18,"B-J auto",4540.07,4,4
"53","O1","MICRO",4255.07,"B-J auto",4540.07,5,5
"54","O1","MICRO",4285.44,"B-J auto",4540.07,6,6
"55","O1","MICRO",4260.68,"B-J auto",4540.07,7,7
"56","O1","MICRO",4249.63,"B-J auto",4540.07,8,8
"57","O1","MICRO",4381.08,"AutoBox1",4541.6,1,1
"58","O1","MICRO",4405.63,"AutoBox1",4534.08,2,2
"59","O1","MICRO",4377.02,"AutoBox1",4527.75,3,3
"60","O1","MICRO",4371.18,"AutoBox1",4522.41,4,4
"61","O1","MICRO",4255.07,"AutoBox1",4517.91,5,5
"62","O1","MICRO",4285.44,"AutoBox1",4514.13,6,6
"63","O1","MICRO",4260.68,"AutoBox1",4510.94,7,7
"64","O1","MICRO",4249.63,"AutoBox1",4508.25,8,8
"65","O1","MICRO",4381.08,"AutoBox2",4541.54,1,1
"66","O1","MICRO",4405.63,"AutoBox2",4541.34,2,2
"67","O1","MICRO",4377.02,"AutoBox2",4541.3,3,3
"68","O1","MICRO",4371.18,"AutoBox2",4541.29,4,4
"69","O1","MICRO",4255.07,"AutoBox2",4541.29,5,5
"70","O1","MICRO",4285.44,"AutoBox2",4541.29,6,6
"71","O1","MICRO",4260.68,"AutoBox2",4541.29,7,7
"72","O1","MICRO",4249.63,"AutoBox2",4541.29,8,8
"73","O1","MICRO",4381.08,"AutoBox3",4512.15,1,1
"74","O1","MICRO",4405.63,"AutoBox3",4482.57,2,2
"75","O1","MICRO",4377.02,"AutoBox3",4461,3,3
"76","O1","MICRO",4371.18,"AutoBox3",4442.92,4,4
"77","O1","MICRO",4255.07,"AutoBox3",4424.1,5,5
"78","O1","MICRO",4285.44,"AutoBox3",4403.87,6,6
"79","O1","MICRO",4260.68,"AutoBox3",4383.22,7,7
"80","O1","MICRO",4249.63,"AutoBox3",4362.79,8,8
"81","O1","MICRO",4381.08,"ROBUST-Trend",4536.52,1,1
"82","O1","MICRO",4405.63,"ROBUST-Trend",4530.53,2,2
"83","O1","MICRO",4377.02,"ROBUST-Trend",4524.53,3,3
"84","O1","MICRO",4371.18,"ROBUST-Trend",4518.54,4,4
"85","O1","MICRO",4255.07,"ROBUST-Trend",4512.55,5,5
"86","O1","MICRO",4285.44,"ROBUST-Trend",4506.56,6,6
"87","O1","MICRO",4260.68,"ROBUST-Trend",4500.56,7,7
"88","O1","MICRO",4249.63,"ROBUST-Trend",4494.57,8,8
"89","O1","MICRO",4381.08,"ARARMA",4553.39,1,1
"90","O1","MICRO",4405.63,"ARARMA",4567.95,2,2
"91","O1","MICRO",4377.02,"ARARMA",4583.42,3,3
"92","O1","MICRO",4371.18,"ARARMA",4599.15,4,4
"93","O1","MICRO",4255.07,"ARARMA",4614.97,5,5
"94","O1","MICRO",4285.44,"ARARMA",4630.86,6,6
"95","O1","MICRO",4260.68,"ARARMA",4646.81,7,7
"96","O1","MICRO",4249.63,"ARARMA",4662.81,8,8
"97","O1","MICRO",4381.08,"Auto-ANN",4519.21,1,1
"98","O1","MICRO",4405.63,"Auto-ANN",4495.82,2,2
"99","O1","MICRO",4377.02,"Auto-ANN",4476.03,3,3
"100","O1","MICRO",4371.18,"Auto-ANN",4459.89,4,4
"101","O1","MICRO",4255.07,"Auto-ANN",4446.79,5,5
"102","O1","MICRO",4285.44,"Auto-ANN",4436.12,6,6
"103","O1","MICRO",4260.68,"Auto-ANN",4427.36,7,7
"104","O1","MICRO",4249.63,"Auto-ANN",4420.12,8,8
"105","O1","MICRO",4381.08,"Flors-Pearc1",4541.19,1,1
"106","O1","MICRO",4405.63,"Flors-Pearc1",4541.19,2,2
"107","O1","MICRO",4377.02,"Flors-Pearc1",4541.19,3,3
"108","O1","MICRO",4371.18,"Flors-Pearc1",4541.19,4,4
"109","O1","MICRO",4255.07,"Flors-Pearc1",4541.19,5,5
"110","O1","MICRO",4285.44,"Flors-Pearc1",4541.19,6,6
"111","O1","MICRO",4260.68,"Flors-Pearc1",4541.19,7,7
"112","O1","MICRO",4249.63,"Flors-Pearc1",4541.19,8,8
"113","O1","MICRO",4381.08,"Flors-Pearc2",4351.4,1,1
"114","O1","MICRO",4405.63,"Flors-Pearc2",4351.4,2,2
"115","O1","MICRO",4377.02,"Flors-Pearc2",4351.4,3,3
"116","O1","MICRO",4371.18,"Flors-Pearc2",4351.4,4,4
"117","O1","MICRO",4255.07,"Flors-Pearc2",4351.4,5,5
"118","O1","MICRO",4285.44,"Flors-Pearc2",4351.4,6,6
"119","O1","MICRO",4260.68,"Flors-Pearc2",4351.4,7,7
"120","O1","MICRO",4249.63,"Flors-Pearc2",4351.4,8,8
"121","O1","MICRO",4381.08,"PP-Autocast",4541.33,1,1
"122","O1","MICRO",4405.63,"PP-Autocast",4541.03,2,2
"123","O1","MICRO",4377.02,"PP-Autocast",4540.95,3,3
"124","O1","MICRO",4371.18,"PP-Autocast",4540.94,4,4
"125","O1","MICRO",4255.07,"PP-Autocast",4540.93,5,5
"126","O1","MICRO",4285.44,"PP-Autocast",4540.93,6,6
"127","O1","MICRO",4260.68,"PP-Autocast",4540.93,7,7
"128","O1","MICRO",4249.63,"PP-Autocast",4540.93,8,8
"129","O1","MICRO",4381.08,"ForecastPro",4542.51,1,1
"130","O1","MICRO",4405.63,"ForecastPro",4542.51,2,2
"131","O1","MICRO",4377.02,"ForecastPro",4542.51,3,3
"132","O1","MICRO",4371.18,"ForecastPro",4542.51,4,4
"133","O1","MICRO",4255.07,"ForecastPro",4542.51,5,5
"134","O1","MICRO",4285.44,"ForecastPro",4542.51,6,6
"135","O1","MICRO",4260.68,"ForecastPro",4542.51,7,7
"136","O1","MICRO",4249.63,"ForecastPro",4542.51,8,8
"137","O1","MICRO",4381.08,"SMARTFCS",4542.61,1,1
"138","O1","MICRO",4405.63,"SMARTFCS",4542.61,2,2
"139","O1","MICRO",4377.02,"SMARTFCS",4542.61,3,3
"140","O1","MICRO",4371.18,"SMARTFCS",4542.61,4,4
"141","O1","MICRO",4255.07,"SMARTFCS",4542.61,5,5
"142","O1","MICRO",4285.44,"SMARTFCS",4542.61,6,6
"143","O1","MICRO",4260.68,"SMARTFCS",4542.61,7,7
"144","O1","MICRO",4249.63,"SMARTFCS",4542.61,8,8
"145","O1","MICRO",4381.08,"THETAsm",4327.82,1,1
"146","O1","MICRO",4405.63,"THETAsm",4328.36,2,2
"147","O1","MICRO",4377.02,"THETAsm",4328.44,3,3
"148","O1","MICRO",4371.18,"THETAsm",4328.45,4,4
"149","O1","MICRO",4255.07,"THETAsm",4328.46,5,5
"150","O1","MICRO",4285.44,"THETAsm",4328.46,6,6
"151","O1","MICRO",4260.68,"THETAsm",4328.46,7,7
"152","O1","MICRO",4249.63,"THETAsm",4328.46,8,8
"153","O1","MICRO",4381.08,"THETA",4547.96,1,1
"154","O1","MICRO",4405.63,"THETA",4555.03,2,2
"155","O1","MICRO",4377.02,"THETA",4562.67,3,3
"156","O1","MICRO",4371.18,"THETA",4570.48,4,4
"157","O1","MICRO",4255.07,"THETA",4578.34,5,5
"158","O1","MICRO",4285.44,"THETA",4586.18,6,6
"159","O1","MICRO",4260.68,"THETA",4594,7,7
"160","O1","MICRO",4249.63,"THETA",4601.78,8,8
"161","O1","MICRO",4381.08,"RBF",4565.63,1,1
"162","O1","MICRO",4405.63,"RBF",4579.79,2,2
"163","O1","MICRO",4377.02,"RBF",4595.46,3,3
"164","O1","MICRO",4371.18,"RBF",4612.43,4,4
"165","O1","MICRO",4255.07,"RBF",4630.52,5,5
"166","O1","MICRO",4285.44,"RBF",4649.55,6,6
"167","O1","MICRO",4260.68,"RBF",4669.34,7,7
"168","O1","MICRO",4249.63,"RBF",4689.72,8,8
"169","O1","MICRO",4381.08,"ForcX",4541.74,1,1
"170","O1","MICRO",4405.63,"ForcX",4541.62,2,2
"171","O1","MICRO",4377.02,"ForcX",4541.6,3,3
"172","O1","MICRO",4371.18,"ForcX",4541.59,4,4
"173","O1","MICRO",4255.07,"ForcX",4541.59,5,5
"174","O1","MICRO",4285.44,"ForcX",4541.59,6,6
"175","O1","MICRO",4260.68,"ForcX",4541.59,7,7
"176","O1","MICRO",4249.63,"ForcX",4541.59,8,8
"177","O2","MICRO",5875.23,"NAIVE2",7059.1,1,1
"178","O2","MICRO",6765.19,"NAIVE2",7059.1,2,2
"179","O2","MICRO",6546.78,"NAIVE2",7059.1,3,3
"180","O2","MICRO",6681.54,"NAIVE2",7059.1,4,4
"181","O2","MICRO",6130.36,"NAIVE2",7059.1,5,5
"182","O2","MICRO",6383.16,"NAIVE2",7059.1,6,6
"183","O2","MICRO",6225.59,"NAIVE2",7059.1,7,7
"184","O2","MICRO",6222.02,"NAIVE2",7059.1,8,8
"185","O2","MICRO",5875.23,"SINGLE",7071.71,1,1
"186","O2","MICRO",6765.19,"SINGLE",7071.71,2,2
"187","O2","MICRO",6546.78,"SINGLE",7071.71,3,3
"188","O2","MICRO",6681.54,"SINGLE",7071.71,4,4
"189","O2","MICRO",6130.36,"SINGLE",7071.71,5,5
"190","O2","MICRO",6383.16,"SINGLE",7071.71,6,6
"191","O2","MICRO",6225.59,"SINGLE",7071.71,7,7
"192","O2","MICRO",6222.02,"SINGLE",7071.71,8,8
"193","O2","MICRO",5875.23,"HOLT",7095.83,1,1
"194","O2","MICRO",6765.19,"HOLT",7116.63,2,2
"195","O2","MICRO",6546.78,"HOLT",7137.43,3,3
"196","O2","MICRO",6681.54,"HOLT",7158.23,4,4
"197","O2","MICRO",6130.36,"HOLT",7179.03,5,5
"198","O2","MICRO",6383.16,"HOLT",7199.83,6,6
"199","O2","MICRO",6225.59,"HOLT",7220.63,7,7
"200","O2","MICRO",6222.02,"HOLT",7241.43,8,8
"201","O2","MICRO",5875.23,"DAMPEN",7057.2,1,1
"202","O2","MICRO",6765.19,"DAMPEN",7057.2,2,2
"203","O2","MICRO",6546.78,"DAMPEN",7057.2,3,3
"204","O2","MICRO",6681.54,"DAMPEN",7057.2,4,4
"205","O2","MICRO",6130.36,"DAMPEN",7057.2,5,5
"206","O2","MICRO",6383.16,"DAMPEN",7057.2,6,6
"207","O2","MICRO",6225.59,"DAMPEN",7057.2,7,7
"208","O2","MICRO",6222.02,"DAMPEN",7057.2,8,8
"209","O2","MICRO",5875.23,"WINTER",7095.83,1,1
"210","O2","MICRO",6765.19,"WINTER",7116.63,2,2
"211","O2","MICRO",6546.78,"WINTER",7137.43,3,3
"212","O2","MICRO",6681.54,"WINTER",7158.23,4,4
"213","O2","MICRO",6130.36,"WINTER",7179.03,5,5
"214","O2","MICRO",6383.16,"WINTER",7199.83,6,6
"215","O2","MICRO",6225.59,"WINTER",7220.63,7,7
"216","O2","MICRO",6222.02,"WINTER",7241.43,8,8
"217","O2","MICRO",5875.23,"COMB S-H-D",7074.91,1,1
"218","O2","MICRO",6765.19,"COMB S-H-D",7081.85,2,2
"219","O2","MICRO",6546.78,"COMB S-H-D",7088.78,3,3
"220","O2","MICRO",6681.54,"COMB S-H-D",7095.71,4,4
"221","O2","MICRO",6130.36,"COMB S-H-D",7102.65,5,5
"222","O2","MICRO",6383.16,"COMB S-H-D",7109.58,6,6
"223","O2","MICRO",6225.59,"COMB S-H-D",7116.51,7,7
"224","O2","MICRO",6222.02,"COMB S-H-D",7123.45,8,8
"225","O2","MICRO",5875.23,"B-J auto",6726.09,1,1
"226","O2","MICRO",6765.19,"B-J auto",6685.79,2,2
"227","O2","MICRO",6546.78,"B-J auto",6685.79,3,3
"228","O2","MICRO",6681.54,"B-J auto",6685.79,4,4
"229","O2","MICRO",6130.36,"B-J auto",6685.79,5,5
"230","O2","MICRO",6383.16,"B-J auto",6685.79,6,6
"231","O2","MICRO",6225.59,"B-J auto",6685.79,7,7
"232","O2","MICRO",6222.02,"B-J auto",6685.79,8,8
"233","O2","MICRO",5875.23,"AutoBox1",6912.89,1,1
"234","O2","MICRO",6765.19,"AutoBox1",6827.33,2,2
"235","O2","MICRO",6546.78,"AutoBox1",6777.25,3,3
"236","O2","MICRO",6681.54,"AutoBox1",6747.94,4,4
"237","O2","MICRO",6130.36,"AutoBox1",6730.79,5,5
"238","O2","MICRO",6383.16,"AutoBox1",6720.76,6,6
"239","O2","MICRO",6225.59,"AutoBox1",6714.88,7,7
"240","O2","MICRO",6222.02,"AutoBox1",6711.44,8,8
"241","O2","MICRO",5875.23,"AutoBox2",6567.46,1,1
"242","O2","MICRO",6765.19,"AutoBox2",6347.31,2,2
"243","O2","MICRO",6546.78,"AutoBox2",6234.43,3,3
"244","O2","MICRO",6681.54,"AutoBox2",6142.44,4,4
"245","O2","MICRO",6130.36,"AutoBox2",6067.47,5,5
"246","O2","MICRO",6383.16,"AutoBox2",6006.37,6,6
"247","O2","MICRO",6225.59,"AutoBox2",5956.58,7,7
"248","O2","MICRO",6222.02,"AutoBox2",5916,8,8
"249","O2","MICRO",5875.23,"AutoBox3",6882.36,1,1
"250","O2","MICRO",6765.19,"AutoBox3",6895.08,2,2
"251","O2","MICRO",6546.78,"AutoBox3",6895.08,3,3
"252","O2","MICRO",6681.54,"AutoBox3",6895.08,4,4
"253","O2","MICRO",6130.36,"AutoBox3",6895.08,5,5
"254","O2","MICRO",6383.16,"AutoBox3",6895.08,6,6
"255","O2","MICRO",6225.59,"AutoBox3",6895.08,7,7
"256","O2","MICRO",6222.02,"AutoBox3",6895.08,8,8
"257","O2","MICRO",5875.23,"ROBUST-Trend",7020.46,1,1
"258","O2","MICRO",6765.19,"ROBUST-Trend",6981.82,2,2
"259","O2","MICRO",6546.78,"ROBUST-Trend",6943.18,3,3
"260","O2","MICRO",6681.54,"ROBUST-Trend",6904.54,4,4
"261","O2","MICRO",6130.36,"ROBUST-Trend",6865.91,5,5
"262","O2","MICRO",6383.16,"ROBUST-Trend",6827.27,6,6
"263","O2","MICRO",6225.59,"ROBUST-Trend",6788.63,7,7
"264","O2","MICRO",6222.02,"ROBUST-Trend",6749.99,8,8
"265","O2","MICRO",5875.23,"ARARMA",6905.34,1,1
"266","O2","MICRO",6765.19,"ARARMA",6905.4,2,2
"267","O2","MICRO",6546.78,"ARARMA",6888.74,3,3
"268","O2","MICRO",6681.54,"ARARMA",6825.59,4,4
"269","O2","MICRO",6130.36,"ARARMA",6774.8,5,5
"270","O2","MICRO",6383.16,"ARARMA",6737.59,6,6
"271","O2","MICRO",6225.59,"ARARMA",6694.91,7,7
"272","O2","MICRO",6222.02,"ARARMA",6649.07,8,8
"273","O2","MICRO",5875.23,"Auto-ANN",6667.37,1,1
"274","O2","MICRO",6765.19,"Auto-ANN",6401.04,2,2
"275","O2","MICRO",6546.78,"Auto-ANN",6219.96,3,3
"276","O2","MICRO",6681.54,"Auto-ANN",6096.85,4,4
"277","O2","MICRO",6130.36,"Auto-ANN",6013.14,5,5
"278","O2","MICRO",6383.16,"Auto-ANN",5956.23,6,6
"279","O2","MICRO",6225.59,"Auto-ANN",5917.54,7,7
"280","O2","MICRO",6222.02,"Auto-ANN",5891.24,8,8
"281","O2","MICRO",5875.23,"Flors-Pearc1",7051.17,1,1
"282","O2","MICRO",6765.19,"Flors-Pearc1",7051.17,2,2
"283","O2","MICRO",6546.78,"Flors-Pearc1",7051.17,3,3
"284","O2","MICRO",6681.54,"Flors-Pearc1",7051.17,4,4
"285","O2","MICRO",6130.36,"Flors-Pearc1",7051.17,5,5
"286","O2","MICRO",6383.16,"Flors-Pearc1",7051.17,6,6
"287","O2","MICRO",6225.59,"Flors-Pearc1",7051.17,7,7
"288","O2","MICRO",6222.02,"Flors-Pearc1",7051.17,8,8
"289","O2","MICRO",5875.23,"Flors-Pearc2",6684.72,1,1
"290","O2","MICRO",6765.19,"Flors-Pearc2",6684.72,2,2
"291","O2","MICRO",6546.78,"Flors-Pearc2",6684.72,3,3
"292","O2","MICRO",6681.54,"Flors-Pearc2",6684.72,4,4
"293","O2","MICRO",6130.36,"Flors-Pearc2",6684.72,5,5
"294","O2","MICRO",6383.16,"Flors-Pearc2",6684.72,6,6
"295","O2","MICRO",6225.59,"Flors-Pearc2",6684.72,7,7
"296","O2","MICRO",6222.02,"Flors-Pearc2",6684.72,8,8
"297","O2","MICRO",5875.23,"PP-Autocast",7056.23,1,1
"298","O2","MICRO",6765.19,"PP-Autocast",7056.23,2,2
"299","O2","MICRO",6546.78,"PP-Autocast",7056.23,3,3
"300","O2","MICRO",6681.54,"PP-Autocast",7056.23,4,4
"301","O2","MICRO",6130.36,"PP-Autocast",7056.23,5,5
"302","O2","MICRO",6383.16,"PP-Autocast",7056.23,6,6
"303","O2","MICRO",6225.59,"PP-Autocast",7056.23,7,7
"304","O2","MICRO",6222.02,"PP-Autocast",7056.23,8,8
"305","O2","MICRO",5875.23,"ForecastPro",7056.9,1,1
"306","O2","MICRO",6765.19,"ForecastPro",7056.9,2,2
"307","O2","MICRO",6546.78,"ForecastPro",7056.9,3,3
"308","O2","MICRO",6681.54,"ForecastPro",7056.9,4,4
"309","O2","MICRO",6130.36,"ForecastPro",7056.9,5,5
"310","O2","MICRO",6383.16,"ForecastPro",7056.9,6,6
"311","O2","MICRO",6225.59,"ForecastPro",7056.9,7,7
"312","O2","MICRO",6222.02,"ForecastPro",7056.9,8,8
"313","O2","MICRO",5875.23,"SMARTFCS",6704.76,1,1
"314","O2","MICRO",6765.19,"SMARTFCS",6723.69,2,2
"315","O2","MICRO",6546.78,"SMARTFCS",6742.62,3,3
"316","O2","MICRO",6681.54,"SMARTFCS",6761.55,4,4
"317","O2","MICRO",6130.36,"SMARTFCS",6780.48,5,5
"318","O2","MICRO",6383.16,"SMARTFCS",6799.41,6,6
"319","O2","MICRO",6225.59,"SMARTFCS",6818.34,7,7
"320","O2","MICRO",6222.02,"SMARTFCS",6837.27,8,8
"321","O2","MICRO",5875.23,"THETAsm",6784.27,1,1
"322","O2","MICRO",6765.19,"THETAsm",6785.04,2,2
"323","O2","MICRO",6546.78,"THETAsm",6785.16,3,3
"324","O2","MICRO",6681.54,"THETAsm",6785.18,4,4
"325","O2","MICRO",6130.36,"THETAsm",6785.18,5,5
"326","O2","MICRO",6383.16,"THETAsm",6785.19,6,6
"327","O2","MICRO",6225.59,"THETAsm",6785.19,7,7
"328","O2","MICRO",6222.02,"THETAsm",6785.19,8,8
"329","O2","MICRO",5875.23,"THETA",7068.59,1,1
"330","O2","MICRO",6765.19,"THETA",7078.76,2,2
"331","O2","MICRO",6546.78,"THETA",7088.89,3,3
"332","O2","MICRO",6681.54,"THETA",7098.97,4,4
"333","O2","MICRO",6130.36,"THETA",7109.01,5,5
"334","O2","MICRO",6383.16,"THETA",7119,6,6
"335","O2","MICRO",6225.59,"THETA",7128.95,7,7
"336","O2","MICRO",6222.02,"THETA",7138.86,8,8
"337","O2","MICRO",5875.23,"RBF",7043.53,1,1
"338","O2","MICRO",6765.19,"RBF",7056.67,2,2
"339","O2","MICRO",6546.78,"RBF",7069.85,3,3
"340","O2","MICRO",6681.54,"RBF",7082.62,4,4
"341","O2","MICRO",6130.36,"RBF",7094.58,5,5
"342","O2","MICRO",6383.16,"RBF",7105.4,6,6
"343","O2","MICRO",6225.59,"RBF",7114.78,7,7
"344","O2","MICRO",6222.02,"RBF",7122.45,8,8
"345","O2","MICRO",5875.23,"ForcX",7070.62,1,1
"346","O2","MICRO",6765.19,"ForcX",7070.62,2,2
"347","O2","MICRO",6546.78,"ForcX",7070.62,3,3
"348","O2","MICRO",6681.54,"ForcX",7070.62,4,4
"349","O2","MICRO",6130.36,"ForcX",7070.62,5,5
"350","O2","MICRO",6383.16,"ForcX",7070.62,6,6
"351","O2","MICRO",6225.59,"ForcX",7070.62,7,7
"352","O2","MICRO",6222.02,"ForcX",7070.62,8,8
"353","O3","MICRO",5417,"NAIVE2",8104,1,1
"354","O3","MICRO",3876.5,"NAIVE2",8104,2,2
"355","O3","MICRO",5123,"NAIVE2",8104,3,3
"356","O3","MICRO",3364.5,"NAIVE2",8104,4,4
"357","O3","MICRO",1267.5,"NAIVE2",8104,5,5
"358","O3","MICRO",4154.5,"NAIVE2",8104,6,6
"359","O3","MICRO",5611,"NAIVE2",8104,7,7
"360","O3","MICRO",4646.5,"NAIVE2",8104,8,8
"361","O3","MICRO",5417,"SINGLE",7330.65,1,1
"362","O3","MICRO",3876.5,"SINGLE",7330.65,2,2
"363","O3","MICRO",5123,"SINGLE",7330.65,3,3
"364","O3","MICRO",3364.5,"SINGLE",7330.65,4,4
"365","O3","MICRO",1267.5,"SINGLE",7330.65,5,5
"366","O3","MICRO",4154.5,"SINGLE",7330.65,6,6
"367","O3","MICRO",5611,"SINGLE",7330.65,7,7
"368","O3","MICRO",4646.5,"SINGLE",7330.65,8,8
"369","O3","MICRO",5417,"HOLT",7750.47,1,1
"370","O3","MICRO",3876.5,"HOLT",7781.5,2,2
"371","O3","MICRO",5123,"HOLT",7812.53,3,3
"372","O3","MICRO",3364.5,"HOLT",7843.56,4,4
"373","O3","MICRO",1267.5,"HOLT",7874.59,5,5
"374","O3","MICRO",4154.5,"HOLT",7905.62,6,6
"375","O3","MICRO",5611,"HOLT",7936.65,7,7
"376","O3","MICRO",4646.5,"HOLT",7967.68,8,8
"377","O3","MICRO",5417,"DAMPEN",7290.35,1,1
"378","O3","MICRO",3876.5,"DAMPEN",7290.35,2,2
"379","O3","MICRO",5123,"DAMPEN",7290.35,3,3
"380","O3","MICRO",3364.5,"DAMPEN",7290.35,4,4
"381","O3","MICRO",1267.5,"DAMPEN",7290.35,5,5
"382","O3","MICRO",4154.5,"DAMPEN",7290.35,6,6
"383","O3","MICRO",5611,"DAMPEN",7290.35,7,7
"384","O3","MICRO",4646.5,"DAMPEN",7290.35,8,8
"385","O3","MICRO",5417,"WINTER",7750.47,1,1
"386","O3","MICRO",3876.5,"WINTER",7781.5,2,2
"387","O3","MICRO",5123,"WINTER",7812.53,3,3
"388","O3","MICRO",3364.5,"WINTER",7843.56,4,4
"389","O3","MICRO",1267.5,"WINTER",7874.59,5,5
"390","O3","MICRO",4154.5,"WINTER",7905.62,6,6
"391","O3","MICRO",5611,"WINTER",7936.65,7,7
"392","O3","MICRO",4646.5,"WINTER",7967.68,8,8
"393","O3","MICRO",5417,"COMB S-H-D",7457.16,1,1
"394","O3","MICRO",3876.5,"COMB S-H-D",7467.5,2,2
"395","O3","MICRO",5123,"COMB S-H-D",7477.84,3,3
"396","O3","MICRO",3364.5,"COMB S-H-D",7488.19,4,4
"397","O3","MICRO",1267.5,"COMB S-H-D",7498.53,5,5
"398","O3","MICRO",4154.5,"COMB S-H-D",7508.87,6,6
"399","O3","MICRO",5611,"COMB S-H-D",7519.22,7,7
"400","O3","MICRO",4646.5,"COMB S-H-D",7529.56,8,8
"401","O3","MICRO",5417,"B-J auto",7185.81,1,1
"402","O3","MICRO",3876.5,"B-J auto",6969.83,2,2
"403","O3","MICRO",5123,"B-J auto",6969.83,3,3
"404","O3","MICRO",3364.5,"B-J auto",6969.83,4,4
"405","O3","MICRO",1267.5,"B-J auto",6969.83,5,5
"406","O3","MICRO",4154.5,"B-J auto",6969.83,6,6
"407","O3","MICRO",5611,"B-J auto",6969.83,7,7
"408","O3","MICRO",4646.5,"B-J auto",6969.83,8,8
"409","O3","MICRO",5417,"AutoBox1",7511.44,1,1
"410","O3","MICRO",3876.5,"AutoBox1",7370.76,2,2
"411","O3","MICRO",5123,"AutoBox1",7393.72,3,3
"412","O3","MICRO",3364.5,"AutoBox1",7475.94,4,4
"413","O3","MICRO",1267.5,"AutoBox1",7579.63,5,5
"414","O3","MICRO",4154.5,"AutoBox1",7691.08,6,6
"415","O3","MICRO",5611,"AutoBox1",7805.35,7,7
"416","O3","MICRO",4646.5,"AutoBox1",7920.64,8,8
"417","O3","MICRO",5417,"AutoBox2",6469.57,1,1
"418","O3","MICRO",3876.5,"AutoBox2",7575.01,2,2
"419","O3","MICRO",5123,"AutoBox2",6456.54,3,3
"420","O3","MICRO",3364.5,"AutoBox2",7240.69,4,4
"421","O3","MICRO",1267.5,"AutoBox2",6627.66,5,5
"422","O3","MICRO",4154.5,"AutoBox2",6388.74,6,6
"423","O3","MICRO",5611,"AutoBox2",4671.71,7,7
"424","O3","MICRO",4646.5,"AutoBox2",6187.67,8,8
"425","O3","MICRO",5417,"AutoBox3",7031.16,1,1
"426","O3","MICRO",3876.5,"AutoBox3",8627.1,2,2
"427","O3","MICRO",5123,"AutoBox3",7936.23,3,3
